Title,Rating,Genre,Cast
The Equalizer 3,73.96,"['Action', 'Thriller', 'Crime']","['Denzel Washington', 'Dakota Fanning', 'Eugenio Mastrandrea', 'David Denman', 'Gaia Scodellaro', 'Remo Girone', 'Andrea Scarduzio', 'Andrea Dodero', 'Daniele Perrone', 'Sonia Ammar', 'Manuela Tasciotti', 'Zakaria Hamza', 'Dea Lanzaro', 'Adolfo Margiotta', 'Niccolò Senni', 'Bruno Bilotta', 'Alessandro Press', 'Niccolò Fava', 'Alessandro Xavier De Silva', 'Adriano Sabrie', 'Valerio Da Silva', 'Gian Piero Rotoli', 'Isabella Delle Monache', 'Salvatore Ruocco', 'Daniele Ornatelli', 'Luigi Catani', 'Giovanni Trombetta', 'Gianluigi Scilla', 'Danilo Capuzi', 'Giovanni Scotti', 'Marta Zoffoli', 'Marco Giuliani', 'Simona Distefano', 'Mauro Cremonini', 'Arcangelo Iannace', 'Beatrice Aiello', 'Agostino Chiummariello', 'Mariarosaria Mingione', 'Marco Cicalese', 'Diego Riace', 'Lucia Zotti', 'Cristiano Pittarello', 'Melissa Leo']"
Players,61.29,"['Romance', 'Comedy']","['Gina Rodriguez', 'Damon Wayans Jr.', 'Tom Ellis', 'Augustus Prew', 'Joel Courtney', 'Liza Koshy', 'Jerry Kernion', 'Ego Nwodim', 'Marin Hinkle', ""Brock O'Hurn"", 'Gina Jun', 'Kais Boukthir', 'Sterling Jonatán Williams', 'Darron Jay Morgan', 'Dan Cordle', 'Claudia Maree Mailer', 'George J. Vezina', 'Scottie DiGiacomo', 'Sarah Dacey Charles', 'James Hightower', 'Veraalba Santa', 'Tony Foggia']"
The Painter,67.78,"['Action', 'Thriller']","['Charlie Weber', 'Jon Voight', 'Madison Bailey', 'Max Montesi', 'Marie Avgeropoulos', 'Rryla McIntosh', ""Luisa d'Oliveira"", 'Leah Gibson', 'Jason Gray-Stanford', 'Stephen Lobo', 'Simon Tattersall', 'Ryder Miller', 'Doug Chapman', 'Ashleigh Kearns', 'Marissa Bruchmann', 'Todd Masters', 'Benjamin Jacobson', 'Bobby Stewart']"
The Flash,67.85,"['Action', 'Adventure', 'Science Fiction']","['Ezra Miller', 'Sasha Calle', 'Michael Keaton', 'Michael Shannon', 'Ron Livingston', 'Maribel Verdú', 'Kiersey Clemons', 'Antje Traue', 'Saoirse-Monica Jackson', 'Rudy Mancuso', 'Ed Wade', 'Jeremy Irons', 'Temuera Morrison', 'Sanjeev Bhaskar', 'Sean Rogers', 'Kieran Hodgson', 'Luke Brandon Field', 'Ian Loh', 'Karl Collins', 'Nikolaj Coster-Waldau', 'Poppy Shepherd', 'Nina Barker-Francis', 'Ava Hamada', 'Maurice Chung', 'Florence Wright', 'Bastian Antonio Fuentes', 'Andoni Gracia', 'Alex Hank', 'Miki Muschietti', 'Rebecca Hiller', 'Rob Hunt', 'Jonny Stockwell', 'Michael Byrch', 'Bret Jones', 'Sue Maund', 'Alex Batareanu', 'Andrei Nova', 'Gabriel Constantin', 'Oleg Mirochnikov', 'Katia Elizarova', 'Denis Khoroshko', 'Zsuzsa Magyar', 'Michael Lerman', 'Rosie Ede', 'Andy Muschietti', 'Ellie Rawnsley', 'Greg Lockett', 'Chelsea Leigh Macleod', 'Leslie Soo', 'Freya Evans', 'Sue Moore', 'Lynn Farleigh', 'Martin Pemberton', 'Sarah Lawn', 'David Calvitto', 'Ben Affleck', 'Gal Gadot', 'George Clooney', 'Jason Momoa']"
The OctoGames,58.08,"['Thriller', 'Action', 'Horror']","['Lacy Hartselle', 'Cale Adcock', 'Luv Patel', 'Henry Haggard', 'Allison Shrum', 'Alice Raver', 'Brad Belemjian', 'Patrick Sharn', 'Claire Palmer', 'Sally Harvey Anderson', 'Adam Pietripaoli', 'Ali Thomas', 'Fallon Gyurko']"
Sound of Freedom,80.55,"['Action', 'Drama']","['Jim Caviezel', 'Mira Sorvino', 'Bill Camp', 'Gerardo Taracena', 'Kurt Fuller', 'José Zúñiga', 'Eduardo Verástegui', 'Scott Haze', 'Yessica Borroto Perryman', 'Gary Basaraba', 'Manny Pérez', 'Gustavo Sánchez Parra', 'Javier Godino', 'James Quattrochi', 'Eduardo Gomez Monteverde', 'Gustavo Angarita Jr.', 'Ariel Sierra', 'Kris Avedisian', 'Alejandro Muela', 'Jaime Newball', 'Cristal Aparicio', 'Lucas Ávila', 'Samuel Livingston', 'Valerie Domínguez', 'Jairo Ordóñez', 'Carlos Gutiérrez', 'Hector Lucumi', 'Alina Lozano']"
Johnny Z,50,"['Horror', 'Action', 'Science Fiction']","['Michael Merchant', 'Félix Cortés Rodríguez', 'Jason Delgado', 'David E. McMahon', 'Ellie Church', 'Trey Harrison', 'Wayne W. Johnson', 'Billy Garberina', 'Ron Bonk']"
Parasite,85.1,"['Comedy', 'Thriller', 'Drama']","['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-shik', 'Park So-dam', 'Lee Jung-eun', 'Jang Hye-jin', 'Park Myung-hoon', 'Jung Ji-so', 'Jung Hyeon-jun', 'Park Keun-rok', 'Jung Yi-seo', 'Cho Jae-myung', 'Jeong Ik-han', 'Kim Kyu-baek', 'Ahn Seong-bong', 'Yoon Young-woo', 'Park Jae-wook', 'Lee Dong-yong', 'Jeon Eun-mi', 'Kim Geon', 'Lee Joo-hyung', 'Lee Ji-hye', 'Kim Bo-ryeong', 'Park Hye-sook', 'Baek Seung-hwan', 'Riccardo Ferraresso', 'Ko Kwan-jae', 'Lee Si-hoon', 'Seo Bok-hyeon', 'Shim Soo-mi', 'Yoon Hye-ree', 'Andreas Fronk', 'Anna Elisabeth Rihlmann', 'Rosie Peralta', 'Shin Seung-min', 'Park Seo-jun', 'Kwak Sin-ae', 'Choi Jeong-hyun', 'Kim Ha-eon', 'Lee Eun-hee', 'Choi Ji-won', 'Park Jae-wan', 'Hwang In-gyeong', 'Kim Yeong-jo', 'Kim Jung-woo', 'Lee Sang-kyung', 'Lee Si-hoo', 'Ahn Jin-sang']"
One Life,77.01,"['Drama', 'History', 'War']","['Anthony Hopkins', 'Johnny Flynn', 'Helena Bonham Carter', 'Jonathan Pryce', 'Romola Garai', 'Alex Sharp', 'Lena Olin', 'Samantha Spiro', 'Adrian Rawlins', 'Marthe Keller', 'Ziggy Heath', 'Tom Glenister', 'Tim Steed', 'Samuel Finzi', 'Matilda Thorpe', 'Ffion Jolly']"
The Voyagers,51.09,"['Fantasy', 'Adventure', 'TV Movie']","['Matteo Schiavone', 'Fabio Bizzarro', 'Andrea Gaia Wlderk', 'Francesca Alice Antonini', 'Fabrizio Gifuni', 'Vanessa Scalera', 'Gianmarco Saurino', 'Federico Tocci']"
Silent Night,63.11,"['Action', 'Crime', 'Thriller', 'Drama']","['Joel Kinnaman', 'Kid Cudi', 'Harold Torres', 'Catalina Sandino Moreno', 'Valeria Santaella', ""Vinny O'Brien"", 'Acoyani Chacon', 'Angeles Woo', 'Alejandro De Los Monteros', ""Robert 'Rock' Galotti"", 'Braulio Iara', 'Alex Briseño', 'Binah Heike Anne Jauand Martínez', 'Bruno Gabriel Moreno Martínez', 'Sebastián Andres León Colmenares', 'Olaf Alejandro Velazquez Uribe', 'Hugo Ramírez', 'Naidelin Landero', 'Armando Said', 'Sara Ovando', 'Enrique del Buey', 'Anthony Giulietti', 'Yoko Hamamura']"
The Exorcism of Hannah Stevenson,60,"['Fantasy', 'Horror']","['Tom Hogan', 'Hannah Rose', 'Edward Gist']"
Monsters 103 Mercies Dragon Damnation,66.85,"['Animation', 'Action', 'Fantasy', 'Adventure']","['Yoshimasa Hosoya', 'Kana Hanazawa', 'Hiroki Touchi', 'Mitsuaki Madono', 'Katsuhito Nomura', 'Takahiro Sumi', 'Masashi Nogawa', 'Tsumugi Ariga', 'Shizuka Ishigami', 'Haruki Ishiya', 'Masamu Ono', 'Yujiro Kakuda', 'Kenji Kimura', 'Masanori Shimizu', 'Taichi Takeda', 'Kohsuke Tanabe', 'Yuji Hashinaka', 'Honoho Hida', 'Koji Marunaka', 'Yu Miyazaki', 'Asaki Yuikawa', 'Risa Yoshinaga', 'Kazuya Nakai']"
Guardians of the Galaxy Vol. 3,79.78,"['Science Fiction', 'Adventure', 'Action']","['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Karen Gillan', 'Pom Klementieff', 'Vin Diesel', 'Bradley Cooper', 'Sean Gunn', 'Chukwudi Iwuji', 'Will Poulter', 'Maria Bakalova', 'Elizabeth Debicki', 'Sylvester Stallone', 'Austin Freeman', 'Stephen Blackehart', 'Terence Rosemore', 'Sarah Alami', 'Jasmine Munoz', 'Giovannie Cruz', 'Nico Santos', 'Miriam Shor', 'Noa Raskin', 'Linda Cardellini', 'Asim Chaudhry', 'Mikaela Hoover', 'Judy Greer', 'Reinaldo Faberlle', 'Tara Strong', 'Jared Leland Gore', 'Michael Rosenbaum', 'Elan Gale', 'Molly C. Quinn', 'Gerardo Davila', 'Dee Bradley Baker', 'Hanna Pak', 'Jennifer Holland', 'Nathan Fillion', 'Kyle Mclean', 'Benjamin Byron Davis', 'Tiffany Smith', 'Joe Daru', 'Daniela Melchior', 'Jonathan Mercedes', 'Jonathan Fritschi', 'Diego Ward', 'Max Bickelhaup', 'Renae Moneymaker', 'Alexis Hadesty', 'Tara Warren', 'Candi VandiZandi', 'Grecia Balboa', 'Caleb Spillyards', 'Darla Delgado', 'Michelle Civile', 'Ken Lyle', 'Elodie Clarke', 'John William Wright', 'Autumn Griffin', 'Skylar Huntley', 'Randy Havens', 'Dane DiLiegro', 'Kai Zen', 'Sarah Anne', 'Yael Ocasio', 'Adelynn Spoon', 'Henry Heffernan', 'Brooklyn Skye Oliver', 'Scarlett Blum', 'Baby Dro', 'Emery Grilliot', 'Amelia Waters', 'Lloyd Kaufman', 'Seth Green', 'Christopher Fairbank', 'Rhett Miller', 'Natalia Safran', 'Murphy Weed', 'Michael Rooker', 'James Gunn', 'Pete Davidson', 'Jessica Fontaine', 'Karen Abercrombie', 'Gregg Henry', 'Adriana Leonard', 'Bonnie Discepolo', 'Clare Grant', 'Grace Gunn', 'Will Gunn', 'Brandon Morales']"
